Bisection method: f(x) = e^x - 3xcos(2x) - 8.3
[35] c=3.471888918848058; a=2.0000000000; b=3.4718889199
[36] c=3.471888918269844; a=2.0000000000; b=3.4718889188
Modify False Position method: f(x) = e^{x*sin(x)} + cos(x)
[ 1] c=3.817924097242658; a=2.0000000000; b=4.0000000000
[ 2] c=3.579308639454332; a=2.0000000000; b=3.8179240972
[ 3] c=3.415554562434814; a=2.0000000000; b=3.5793086395
[ 4] c=3.506056347988799; a=3.4155545624; b=3.5793086395
[ 5] c=3.458530284039463; a=3.4155545624; b=3.5060563480
[ 6] c=3.479948657878957; a=3.4585302840; b=3.5060563480
[ 7] c=3.468352229402481; a=3.4585302840; b=3.4799486579
[ 8] c=3.473806492419917; a=3.4683522294; b=3.4799486579
[ 9] c=3.470976494403360; a=3.4683522294; b=3.4738064924
[10] c=3.472358464932940; a=3.4709764944; b=3.4738064924
[11] c=3.471658010756808; a=3.4709764944; b=3.4723584649
[12] c=3.472005454198594; a=3.4716580108; b=3.4723584649
[13] c=3.471830951940932; a=3.4716580108; b=3.4720054542
[14] c=3.471917983551907; a=3.4718309519; b=3.4720054542
[15] c=3.471874407285008; a=3.4718309519; b=3.4719179836
[16] c=3.471896178827586; a=3.4718744073; b=3.4719179836
[17] c=3.471885288551869; a=3.4718744073; b=3.4718961788
[18] c=3.471890732472622; a=3.4718852886; b=3.4718961788
[19] c=3.471888010185487; a=3.4718852886; b=3.4718907325
[20] c=3.471889371241706; a=3.4718880102; b=3.4718907325
[21] c=3.471888690690351; a=3.4718880102; b=3.4718893712
[22] c=3.471889030959863; a=3.4718886907; b=3.4718893712
[23] c=3.471888860823477; a=3.4718886907; b=3.4718890310
[24] c=3.471888945891241; a=3.4718888608; b=3.4718890310
[25] c=3.471888903357246; a=3.4718888608; b=3.4718889459
[26] c=3.471888924624214; a=3.4718889034; b=3.4718889459
[27] c=3.471888913990723; a=3.4718889034; b=3.4718889246
[28] c=3.471888919307466; a=3.4718889140; b=3.4718889246
[29] c=3.471888916649094; a=3.4718889140; b=3.4718889193
[30] c=3.471888917978279; a=3.4718889166; b=3.4718889193
[31] c=3.471888917313687; a=3.4718889166; b=3.4718889180
Modify Secant method: f(x) = e^{x*sin(x)} + cos(x)
[ 1] c=3.817924097242658; a=4.0000000000; b=3.8179240972
[ 2] c=3.259051240878492; a=3.8179240972; b=3.2590512409
[ 3] c=3.546383581878012; a=3.2590512409; b=3.5463835819
[ 4] c=3.487281328724093; a=3.5463835819; b=3.4872813287
[ 5] c=3.470702568675883; a=3.4872813287; b=3.4707025687
[ 6] c=3.471907523184934; a=3.4707025687; b=3.4719075232
[ 7] c=3.471888939949342; a=3.4719075232; b=3.4718889399
[ 8] c=3.471888917534795; a=3.4718889399; b=3.4718889175
[ 9] c=3.471888917535218; a=3.4718889175; b=3.4718889175
Newton method: f(x) = e^{x*sin(x)} + cos(x) a=2, b=4, c=2.3872340603612994
[ 1] c=2.387234060361299
[ 2] c=3.334312704861304
[ 3] c=3.454034658432034
[ 4] c=3.471567762774380
[ 5] c=3.471888812787571
[ 6] c=3.471888917535207
Fixed Point method: f(x) = e^{x*sin(x)} + cos(x) c=3.0050193350377814
Divergence
